issue_type,severity,document_id,title,url,detail,suggested_fix,status
license_unknown,low,1,Vision system lighting techniques and filters,https://www.cognex.com/what-is/machine-vision/components/lighting,License status is unknown.,Review source license before external use.,open
license_unknown,low,2,Machine vision hardware components,https://www.cognex.com/en-gb/what-is/machine-vision/machine-vision-hardware-components,License status is unknown.,Review source license before external use.,open
license_unknown,low,3,Vision sensor components,https://www.cognex.com/en-be/what-is/vision-sensors/components,License status is unknown.,Review source license before external use.,open
missing_tags,medium,3,Vision sensor components,https://www.cognex.com/en-be/what-is/vision-sensors/components,No tags were generated.,Review taxonomy rules or manually tag.,open
low_quality_score,medium,3,Vision sensor components,https://www.cognex.com/en-be/what-is/vision-sensors/components,quality_score=38.0,Review extraction quality and relevance.,open
license_unknown,low,4,Moritex machine vision lighting overview,https://www.cognex.com/products/machine-vision/vision-software/vision-accessories/lighting,License status is unknown.,Review source license before external use.,open
license_unknown,low,5,Backlight illumination for machine vision,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/backlight-illumination-for-machine-vision/,License status is unknown.,Review source license before external use.,open
license_unknown,low,6,Brightfield spot and bar light illumination,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/brightfield-illumination-with-spot-and-bar-lights-for-machine-vision/,License status is unknown.,Review source license before external use.,open
license_unknown,low,7,Darkfield ring light illumination,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/darkfield-illumination-with-ring-lights-for-machine-vision/,License status is unknown.,Review source license before external use.,open
license_unknown,low,8,Brightfield dome illumination,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/brightfield-illumination-with-dome-lights-for-machine-vision/,License status is unknown.,Review source license before external use.,open
license_unknown,low,9,Brightfield ring light illumination,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/brightfield-illumination-with-ring-lights-for-machine-vision/,License status is unknown.,Review source license before external use.,open
license_unknown,low,10,In-line telecentric illumination,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/in-line-telecentric-illumination-for-machine-vision/,License status is unknown.,Review source license before external use.,open
license_unknown,low,11,Common illumination types and polarizers,https://www.edmundoptics.com/knowledge-center/application-notes/illumination/choose-the-correct-illumination/,License status is unknown.,Review source license before external use.,open
license_unknown,low,12,Imaging system resolution basics,https://www.edmundoptics.com/knowledge-center/application-notes/imaging/resolution/,License status is unknown.,Review source license before external use.,open
license_unknown,low,13,Advantages of telecentricity,https://www.edmundoptics.com/knowledge-center/application-notes/imaging/advantages-of-telecentricity/,License status is unknown.,Review source license before external use.,open
license_unknown,low,14,A Practical Guide to Machine Vision Lighting,https://www.advancedillumination.com/wp-content/uploads/2023/05/A-Practical-Guide-to-Machine-Vision-Lighting-Second-Edition.pdf,License status is unknown.,Review source license before external use.,open
license_unknown,low,15,Machine vision lighting intensity and wavelength considerations,https://www.advancedillumination.com/wp-content/uploads/2023/04/A-Practical-Guide-to-Machine-Vision-Lighting-Second-Edition.pdf,License status is unknown.,Review source license before external use.,open
license_unknown,low,16,Bright field lighting training,https://smartvisionlights.com/resources/training/training-bright-field-lighting/,License status is unknown.,Review source license before external use.,open
license_unknown,low,17,Dark field curved backlight concept,https://smartvisionlights.com/products/dflb-460/,License status is unknown.,Review source license before external use.,open
license_unknown,low,18,CMOS rolling shutter cameras,https://www.baslerweb.com/en-us/learning/cmos-rolling-shutter-cameras/,License status is unknown.,Review source license before external use.,open
license_unknown,low,19,CMOS global shutter cameras,https://www.baslerweb.com/en-sg/learning/cmos-global-shutter-cameras/,License status is unknown.,Review source license before external use.,open
license_unknown,low,20,Lens selection white paper source,https://assets-ctf.baslerweb.com/dg51pdwahxgw/2BkfC0jfFuk9EK89GxePfa/1863802cb071fa659b1620e7f6c01a40/BAS2004_White_Paper_Lens_Selection.pdf,License status is unknown.,Review source license before external use.,open
license_unknown,low,21,Understanding image sensors,https://thinklucid.com/tech-briefs/understanding-image-sensors/,License status is unknown.,Review source license before external use.,open
short_body,medium,22,Sony Pregius global shutter CMOS overview,https://thinklucid.com/tech-briefs/sony-pregius/,Body length is 191.,Re-crawl with better extraction or mark as source-link-only.,open
license_unknown,low,22,Sony Pregius global shutter CMOS overview,https://thinklucid.com/tech-briefs/sony-pregius/,License status is unknown.,Review source license before external use.,open
license_unknown,low,23,Illumination for machine vision,https://www.stemmer-imaging.com/en/products/illumination,License status is unknown.,Review source license before external use.,open
license_unknown,low,24,Fixed focal lenses for machine vision,https://www.stemmer-imaging.com/en/products/optics/fixed-focal-lenses,License status is unknown.,Review source license before external use.,open
license_unknown,low,25,Telecentric lenses for machine vision,https://www.stemmer-imaging.com/en/products/optics/telecentric-lenses,License status is unknown.,Review source license before external use.,open
license_unknown,low,26,What is industrial machine vision,https://www.stemmer-imaging.com/our-services/learn/what-is-industrial-machine-vision,License status is unknown.,Review source license before external use.,open
